frame.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
15.800688000,337,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.864031000,338,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.888876000,339,1500,90.130.70.73,80,10.0.0.2,55160,1448,189689,138
15.926241000,340,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.942684000,341,1500,90.130.70.73,80,10.0.0.2,55160,1448,191137,138
15.989080000,342,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
16.051058000,343,52,10.0.0.2,55160,90.130.70.73,80,0,138,188241
16.113927000,344,52,10.0.0.2,55160,90.130.70.73,80,0,138,189689
16.136154000,345,1500,90.130.70.73,80,10.0.0.2,55160,1448,192585,138
16.176593000,346,52,10.0.0.2,55160,90.130.70.73,80,0,138,191137
16.176615000,347,52,10.0.0.2,55160,90.130.70.73,80,0,138,192585
16.200762000,348,1500,90.130.70.73,80,10.0.0.2,55160,1448,194033,138
16.239521000,349,1500,90.130.70.73,80,10.0.0.2,55160,1448,195481,138
16.297802000,350,1500,90.130.70.73,80,10.0.0.2,55160,1448,196929,138
16.301356000,351,52,10.0.0.2,55160,90.130.70.73,80,0,138,194033
16.358338000,352,1500,90.130.70.73,80,10.0.0.2,55160,1448,199825,138
16.359516000,353,1500,90.130.70.73,80,10.0.0.2,55160,1448,198377,138
16.363283000,354,52,10.0.0.2,55160,90.130.70.73,80,0,138,195481
16.397786000,355,1500,90.130.70.73,80,10.0.0.2,55160,1448,201273,138
16.397811000,356,1500,90.130.70.73,80,10.0.0.2,55160,1448,202721,138
16.452627000,357,1500,90.130.70.73,80,10.0.0.2,55160,1448,204169,138
