bif_mean,bif_std,bif_max,bif_min,rtt_avg,label
16410.666666666668,1182.2870491833473,17376.0,14480.0,0.0,bbr
19548.0,1518.6752121503794,21720.0,17376.0,0.0,bbr
22685.333333333332,1182.2870491833473,24616.0,21720.0,0.0,bbr
10756.57142857143,9992.14929927729,26064.0,4344.0,0.2535946666666667,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.23207299999999997,bbr
5171.428571428572,773.988556578381,5792.0,4344.0,0.23153900000000002,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.23082533333333333,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.22992233333333334,bbr
6826.285714285715,1611.1856622050848,8688.0,4344.0,0.249812,bbr
8398.4,1211.4837184213413,10136.0,7240.0,0.25355,bbr
8688.0,1295.130572567878,10136.0,7240.0,0.28951899999999997,bbr
11790.857142857143,1302.8168748998492,13032.0,10136.0,0.0,bbr
16341.714285714286,1611.185662205085,18824.0,14480.0,0.0,bbr
13859.42857142857,3532.75826407369,18824.0,10136.0,0.500084,bbr
13445.714285714286,1377.322730794023,15928.0,11584.0,0.599012,bbr
11825.333333333334,3595.7856814146567,15928.0,7240.0,0.33545,bbr
10860.0,1518.6752121503794,13032.0,8688.0,0.371261,bbr
14893.714285714286,1611.185662205085,17376.0,13032.0,0.0,bbr
19858.285714285714,1611.185662205085,21720.0,17376.0,0.0,bbr
24409.14285714286,1302.8168748998494,26064.0,23168.0,0.0,bbr
22754.285714285714,10160.59600801524,30408.0,7240.0,0.368242,bbr
10618.666666666666,1182.2870491833473,11584.0,8688.0,0.0,bbr
14118.0,670.2937522353272,14480.0,13032.0,0.0,bbr
7561.777777777777,5309.333333333333,14480.0,2896.0,0.368842,bbr
8274.285714285714,1094.585113834722,10136.0,7240.0,0.452591,bbr
11584.0,1895.8770303703018,14480.0,8688.0,0.306756,bbr
16548.571428571428,773.9885565783811,17376.0,15928.0,0.0,bbr
17858.666666666668,1753.615085093267,20272.0,15928.0,0.673912,bbr
13445.714285714286,2321.965669735143,17376.0,11584.0,0.622883,bbr
5212.8,1650.9740155435518,7240.0,2896.0,0.273322,bbr
